Date;AveragePrice;Large Bags;year;region
2015-12-27;1.33;93.25;2015;Albany
2015-12-20;1.35;97.49;2015;Albany
2015-12-13;0.93;103.14;2015;Albany
2015-12-06;1.08;133.76;2015;Albany
2015-11-29;1.28;197.69;2015;Albany
2015-11-22;1.26;127.44;2015;Albany
2015-11-15;0.99;122.05;2015;Albany
2015-11-08;0.98;562.37;2015;Albany
2015-11-01;1.02;283.83;2015;Albany
2015-10-25;1.07;564.45;2015;Albany
2015-10-18;1.12;327.8;2015;Albany
2015-10-11;1.28;257.63;2015;Albany
2015-10-04;1.31;376.77;2015;Albany
2015-09-27;0.99;145.59;2015;Albany
2015-09-20;1.33;778.26;2015;Albany
2015-09-13;1.28;621.49;2015;Albany
2015-09-06;1.11;227.23;2015;Albany
2015-08-30;1.07;87.8;2015;Albany
2015-08-23;1.34;134.57;2015;Albany
2015-08-16;1.33;145.54;2015;Albany
2015-08-09;1.12;109.55;2015;Albany
2015-08-02;1.45;78.5;2015;Albany
2015-07-26;1.11;131.16;2015;Albany
2015-07-19;1.26;183.99;2015;Albany
2015-07-12;1.05;108.49;2015;Albany
2015-07-05;1.35;235.77;2015;Albany
2015-06-28;1.37;350.32;2015;Albany
2015-06-21;1.27;213.65;2015;Albany
2015-06-14;1.32;659.45;2015;Albany
2015-06-07;1.07;460.22;2015;Albany
2015-05-31;1.23;458.52;2015;Albany
2015-05-24;1.19;593.32;2015;Albany
2015-05-17;1.43;372.01;2015;Albany
2015-05-10;1.26;285.75;2015;Albany
2015-05-03;1.2;368.56;2015;Albany
2015-04-26;1.22;701.61;2015;Albany
2015-04-19;1.19;698.95;2015;Albany
2015-04-12;1.13;665.88;2015;Albany
2015-04-05;1.16;755.61;2015;Albany
2015-03-29;1.02;475.59;2015;Albany
2015-03-22;1.12;497.06;2015;Albany
2015-03-15;1.11;381.1;2015;Albany
2015-03-08;1.07;354.44;2015;Albany
2015-03-01;0.99;165.39;2015;Albany
2015-02-22;1.07;379.38;2015;Albany
2015-02-15;1.06;333.16;2015;Albany
